 supplier_id | category_id | reorder_level | sum  
-------------+-------------+---------------+------
           1 |           1 |               |   17
           1 |           1 |            25 |   17
           1 |           2 |               |   13
           1 |           2 |            25 |   13
           1 |             |               |   30
           2 |           2 |               |  133
           2 |           2 |             0 |  129
           2 |           2 |            20 |    4
           2 |             |               |  133
           3 |           2 |               |  126
           3 |           2 |             0 |    6
           3 |           2 |            25 |  120
           3 |           7 |               |   15
           3 |           7 |            10 |   15
           3 |             |               |  141
           4 |           6 |               |   29
           4 |           6 |             0 |   29
           4 |           7 |               |    4
           4 |           7 |             5 |    4
           4 |           8 |               |   31
           4 |           8 |             0 |   31
           4 |             |               |   64
           5 |           4 |               |  108
           5 |           4 |             0 |   86
           5 |           4 |            30 |   22
           5 |             |               |  108
           6 |           2 |               |   39
           6 |           2 |             5 |   39
           6 |           7 |               |   35
           6 |           7 |             0 |   35
           6 |           8 |               |   24
           6 |           8 |             5 |   24
           6 |             |               |   98
           7 |           1 |               |   15
           7 |           1 |            30 |   15
           7 |           2 |               |   24
           7 |           2 |             5 |   24
           7 |           3 |               |   29
           7 |           3 |            10 |   29
           7 |           6 |               |    0
           7 |           6 |             0 |    0
           7 |           8 |               |   42
           7 |           8 |             0 |   42
           7 |             |               |  110
           8 |           1 |               |   39
           8 |           1 |            10 |   39
           8 |           3 |               |   74
           8 |           3 |             0 |   40
           8 |           3 |             5 |   28
           8 |           3 |            15 |    6
           8 |             |               |     
           8 |             |               |     
           8 |             |               |  113
           9 |           5 |               |  165
           9 |           5 |            25 |  165
           9 |             |               |  165
          10 |           1 |               |   20
          10 |           1 |             0 |   20
          10 |           3 |               |   20
          10 |           3 |             5 |   20
          10 |             |               |   40
          11 |           3 |               |  140
          11 |           3 |             0 |   15
          11 |           3 |            30 |  125
          11 |             |               |  140
          12 |           1 |               |  125
          12 |           1 |            25 |  125
          12 |           2 |               |   32
          12 |           2 |            15 |   32
          12 |           5 |               |   22
          12 |           5 |            30 |   22
          12 |           6 |               |    0
          12 |           6 |             0 |    0
          12 |           7 |               |   26
          12 |           7 |             0 |   26
          12 |             |               |  205
          13 |           8 |               |   10
          13 |           8 |            15 |   10
          13 |             |               |   10
          14 |           4 |               |   23
          14 |           4 |             0 |   14
          14 |           4 |            20 |    0
          14 |           4 |            25 |    9
          14 |             |               |   23
          15 |           4 |               |  164
          15 |           4 |             0 |   26
          15 |           4 |            15 |   26
          15 |           4 |            20 |  112
          15 |             |               |  164
          16 |           1 |               |  183
          16 |           1 |            10 |   52
          16 |           1 |            15 |  131
          16 |             |               |  183
          17 |           8 |               |  224
          17 |           8 |             5 |  101
          17 |           8 |            20 |  112
          17 |           8 |            25 |   11
          17 |             |               |  224
          18 |           1 |               |   86
          18 |           1 |             5 |   69
          18 |           1 |            15 |   17
          18 |             |               |   86
          19 |           8 |               |  208
          19 |           8 |            10 |   85
          19 |           8 |            30 |  123
          19 |             |               |  208
          20 |           1 |               |   17
          20 |           1 |            25 |   17
          20 |           2 |               |   27
          20 |           2 |            15 |   27
          20 |           5 |               |   26
          20 |           5 |             0 |   26
          20 |             |               |   70
          21 |           8 |               |  100
          21 |           8 |             0 |   95
          21 |           8 |            15 |    5
          21 |             |               |  100
          22 |           3 |               |   51
          22 |           3 |             0 |   36
          22 |           3 |            25 |   15
          22 |             |               |   51
          23 |           1 |               |   57
          23 |           1 |            20 |   57
          23 |           3 |               |   75
          23 |           3 |            15 |   10
          23 |           3 |            30 |   65
          23 |             |               |  132
          24 |           5 |               |   38
          24 |           5 |            25 |   38
          24 |           6 |               |    0
          24 |           6 |             0 |    0
          24 |           7 |               |   20
          24 |           7 |            10 |   20
          24 |             |               |   58
          25 |           6 |               |  136
          25 |           6 |            10 |   21
          25 |           6 |            20 |  115
          25 |             |               |  136
          26 |           5 |               |   57
          26 |           5 |            20 |   36
          26 |           5 |            30 |   21
          26 |             |               |   57
          27 |           8 |               |   62
          27 |           8 |            20 |   62
          27 |             |               |   62
          28 |           4 |               |   98
          28 |           4 |             0 |   98
          28 |             |               |   98
          29 |           2 |               |  113
          29 |           2 |            25 |  113
          29 |           3 |               |   17
          29 |           3 |             0 |   17
          29 |             |               |  130
             |             |               | 3139
(154 строки)

 supplier_id | category_id | reorder_level | sum  
-------------+-------------+---------------+------
           1 |           1 |               |   17
           1 |           1 |            25 |   17
           1 |           2 |               |   13
           1 |           2 |            25 |   13
           1 |             |               |   30
           1 |             |            25 |   30
           2 |           2 |               |  133
           2 |           2 |             0 |  129
           2 |           2 |            20 |    4
           2 |             |               |  133
           2 |             |             0 |  129
           2 |             |            20 |    4
           3 |           2 |               |  126
           3 |           2 |             0 |    6
           3 |           2 |            25 |  120
           3 |           7 |               |   15
           3 |           7 |            10 |   15
           3 |             |               |  141
           3 |             |             0 |    6
           3 |             |            10 |   15
           3 |             |            25 |  120
           4 |           6 |               |   29
           4 |           6 |             0 |   29
           4 |           7 |               |    4
           4 |           7 |             5 |    4
           4 |           8 |               |   31
           4 |           8 |             0 |   31
           4 |             |               |   64
           4 |             |             0 |   60
           4 |             |             5 |    4
           5 |           4 |               |  108
           5 |           4 |             0 |   86
           5 |           4 |            30 |   22
           5 |             |               |  108
           5 |             |             0 |   86
           5 |             |            30 |   22
           6 |           2 |               |   39
           6 |           2 |             5 |   39
           6 |           7 |               |   35
           6 |           7 |             0 |   35
           6 |           8 |               |   24
           6 |           8 |             5 |   24
           6 |             |               |   98
           6 |             |             0 |   35
           6 |             |             5 |   63
           7 |           1 |               |   15
           7 |           1 |            30 |   15
           7 |           2 |               |   24
           7 |           2 |             5 |   24
           7 |           3 |               |   29
           7 |           3 |            10 |   29
           7 |           6 |               |    0
           7 |           6 |             0 |    0
           7 |           8 |               |   42
           7 |           8 |             0 |   42
           7 |             |               |  110
           7 |             |             0 |   42
           7 |             |             5 |   24
           7 |             |            10 |   29
           7 |             |            30 |   15
           8 |           1 |               |   39
           8 |           1 |            10 |   39
           8 |           3 |               |   74
           8 |           3 |             0 |   40
           8 |           3 |             5 |   28
           8 |           3 |            15 |    6
           8 |             |               |     
           8 |             |               |  113
           8 |             |               |     
           8 |             |               |     
           8 |             |             0 |   40
           8 |             |             5 |   28
           8 |             |            10 |   39
           8 |             |            15 |    6
           9 |           5 |               |  165
           9 |           5 |            25 |  165
           9 |             |               |  165
           9 |             |            25 |  165
          10 |           1 |               |   20
          10 |           1 |             0 |   20
          10 |           3 |               |   20
          10 |           3 |             5 |   20
          10 |             |               |   40
          10 |             |             0 |   20
          10 |             |             5 |   20
          11 |           3 |               |  140
          11 |           3 |             0 |   15
          11 |           3 |            30 |  125
          11 |             |               |  140
          11 |             |             0 |   15
          11 |             |            30 |  125
          12 |           1 |               |  125
          12 |           1 |            25 |  125
          12 |           2 |               |   32
          12 |           2 |            15 |   32
          12 |           5 |               |   22
          12 |           5 |            30 |   22
          12 |           6 |               |    0
          12 |           6 |             0 |    0
          12 |           7 |               |   26
          12 |           7 |             0 |   26
          12 |             |               |  205
          12 |             |             0 |   26
          12 |             |            15 |   32
          12 |             |            25 |  125
          12 |             |            30 |   22
          13 |           8 |               |   10
          13 |           8 |            15 |   10
          13 |             |               |   10
          13 |             |            15 |   10
          14 |           4 |               |   23
          14 |           4 |             0 |   14
          14 |           4 |            20 |    0
          14 |           4 |            25 |    9
          14 |             |               |   23
          14 |             |             0 |   14
          14 |             |            20 |    0
          14 |             |            25 |    9
          15 |           4 |               |  164
          15 |           4 |             0 |   26
          15 |           4 |            15 |   26
          15 |           4 |            20 |  112
          15 |             |               |  164
          15 |             |             0 |   26
          15 |             |            15 |   26
          15 |             |            20 |  112
          16 |           1 |               |  183
          16 |           1 |            10 |   52
          16 |           1 |            15 |  131
          16 |             |               |  183
          16 |             |            10 |   52
          16 |             |            15 |  131
          17 |           8 |               |  224
          17 |           8 |             5 |  101
          17 |           8 |            20 |  112
          17 |           8 |            25 |   11
          17 |             |               |  224
          17 |             |             5 |  101
          17 |             |            20 |  112
          17 |             |            25 |   11
          18 |           1 |               |   86
          18 |           1 |             5 |   69
          18 |           1 |            15 |   17
          18 |             |               |   86
          18 |             |             5 |   69
          18 |             |            15 |   17
          19 |           8 |               |  208
          19 |           8 |            10 |   85
          19 |           8 |            30 |  123
          19 |             |               |  208
          19 |             |            10 |   85
          19 |             |            30 |  123
          20 |           1 |               |   17
          20 |           1 |            25 |   17
          20 |           2 |               |   27
          20 |           2 |            15 |   27
          20 |           5 |               |   26
          20 |           5 |             0 |   26
          20 |             |               |   70
          20 |             |             0 |   26
          20 |             |            15 |   27
          20 |             |            25 |   17
          21 |           8 |               |  100
          21 |           8 |             0 |   95
          21 |           8 |            15 |    5
          21 |             |               |  100
          21 |             |             0 |   95
          21 |             |            15 |    5
          22 |           3 |               |   51
          22 |           3 |             0 |   36
          22 |           3 |            25 |   15
          22 |             |               |   51
          22 |             |             0 |   36
          22 |             |            25 |   15
          23 |           1 |               |   57
          23 |           1 |            20 |   57
          23 |           3 |               |   75
          23 |           3 |            15 |   10
          23 |           3 |            30 |   65
          23 |             |               |  132
          23 |             |            15 |   10
          23 |             |            20 |   57
          23 |             |            30 |   65
          24 |           5 |               |   38
          24 |           5 |            25 |   38
          24 |           6 |               |    0
          24 |           6 |             0 |    0
          24 |           7 |               |   20
          24 |           7 |            10 |   20
          24 |             |               |   58
          24 |             |             0 |    0
          24 |             |            10 |   20
          24 |             |            25 |   38
          25 |           6 |               |  136
          25 |           6 |            10 |   21
          25 |           6 |            20 |  115
          25 |             |               |  136
          25 |             |            10 |   21
          25 |             |            20 |  115
          26 |           5 |               |   57
          26 |           5 |            20 |   36
          26 |           5 |            30 |   21
          26 |             |               |   57
          26 |             |            20 |   36
          26 |             |            30 |   21
          27 |           8 |               |   62
          27 |           8 |            20 |   62
          27 |             |               |   62
          27 |             |            20 |   62
          28 |           4 |               |   98
          28 |           4 |             0 |   98
          28 |             |               |   98
          28 |             |             0 |   98
          29 |           2 |               |  113
          29 |           2 |            25 |  113
          29 |           3 |               |   17
          29 |           3 |             0 |   17
          29 |             |               |  130
          29 |             |             0 |   17
          29 |             |            25 |  113
             |           1 |               |  559
             |           1 |             0 |   20
             |           1 |             5 |   69
             |           1 |            10 |   91
             |           1 |            15 |  148
             |           1 |            20 |   57
             |           1 |            25 |  159
             |           1 |            30 |   15
             |           2 |               |  507
             |           2 |             0 |  135
             |           2 |             5 |   63
             |           2 |            15 |   59
             |           2 |            20 |    4
             |           2 |            25 |  246
             |           3 |               |  406
             |           3 |             0 |  108
             |           3 |             5 |   48
             |           3 |            10 |   29
             |           3 |            15 |   16
             |           3 |            25 |   15
             |           3 |            30 |  190
             |           4 |               |  393
             |           4 |             0 |  224
             |           4 |            15 |   26
             |           4 |            20 |  112
             |           4 |            25 |    9
             |           4 |            30 |   22
             |           5 |               |  308
             |           5 |             0 |   26
             |           5 |            20 |   36
             |           5 |            25 |  203
             |           5 |            30 |   43
             |           6 |               |  165
             |           6 |             0 |   29
             |           6 |            10 |   21
             |           6 |            20 |  115
             |           7 |               |  100
             |           7 |             0 |   61
             |           7 |             5 |    4
             |           7 |            10 |   35
             |           8 |               |  701
             |           8 |             0 |  168
             |           8 |             5 |  125
             |           8 |            10 |   85
             |           8 |            15 |   15
             |           8 |            20 |  174
             |           8 |            25 |   11
             |           8 |            30 |  123
             |             |               |     
             |             |               |     
             |             |               | 3139
             |             |               |     
             |             |             0 |  771
             |             |             5 |  309
             |             |            10 |  261
             |             |            15 |  264
             |             |            20 |  498
             |             |            25 |  643
             |             |            30 |  393
(279 строк)

 supplier_id | category_id | reorder_level | sum  
-------------+-------------+---------------+------
           1 |           1 |               |   17
           1 |           1 |            25 |   17
           1 |           2 |               |   13
           1 |           2 |            25 |   13
           1 |             |               |   30
           1 |             |            25 |   30
           2 |           2 |               |  133
           2 |           2 |             0 |  129
           2 |           2 |            20 |    4
           2 |             |               |  133
           2 |             |             0 |  129
           2 |             |            20 |    4
           3 |           2 |               |  126
           3 |           2 |             0 |    6
           3 |           2 |            25 |  120
           3 |           7 |               |   15
           3 |           7 |            10 |   15
           3 |             |               |  141
           3 |             |             0 |    6
           3 |             |            10 |   15
           3 |             |            25 |  120
           4 |           6 |               |   29
           4 |           6 |             0 |   29
           4 |           7 |               |    4
           4 |           7 |             5 |    4
           4 |           8 |               |   31
           4 |           8 |             0 |   31
           4 |             |               |   64
           4 |             |             0 |   60
           4 |             |             5 |    4
           5 |           4 |               |  108
           5 |           4 |             0 |   86
           5 |           4 |            30 |   22
           5 |             |               |  108
           5 |             |             0 |   86
           5 |             |            30 |   22
           6 |           2 |               |   39
           6 |           2 |             5 |   39
           6 |           7 |               |   35
           6 |           7 |             0 |   35
           6 |           8 |               |   24
           6 |           8 |             5 |   24
           6 |             |               |   98
           6 |             |             0 |   35
           6 |             |             5 |   63
           7 |           1 |               |   15
           7 |           1 |            30 |   15
           7 |           2 |               |   24
           7 |           2 |             5 |   24
           7 |           3 |               |   29
           7 |           3 |            10 |   29
           7 |           6 |               |    0
           7 |           6 |             0 |    0
           7 |           8 |               |   42
           7 |           8 |             0 |   42
           7 |             |               |  110
           7 |             |             0 |   42
           7 |             |             5 |   24
           7 |             |            10 |   29
           7 |             |            30 |   15
           8 |           1 |               |   39
           8 |           1 |            10 |   39
           8 |           3 |               |   74
           8 |           3 |             0 |   40
           8 |           3 |             5 |   28
           8 |           3 |            15 |    6
           8 |             |               |     
           8 |             |               |  113
           8 |             |               |     
           8 |             |               |     
           8 |             |             0 |   40
           8 |             |             5 |   28
           8 |             |            10 |   39
           8 |             |            15 |    6
           9 |           5 |               |  165
           9 |           5 |            25 |  165
           9 |             |               |  165
           9 |             |            25 |  165
          10 |           1 |               |   20
          10 |           1 |             0 |   20
          10 |           3 |               |   20
          10 |           3 |             5 |   20
          10 |             |               |   40
          10 |             |             0 |   20
          10 |             |             5 |   20
          11 |           3 |               |  140
          11 |           3 |             0 |   15
          11 |           3 |            30 |  125
          11 |             |               |  140
          11 |             |             0 |   15
          11 |             |            30 |  125
          12 |           1 |               |  125
          12 |           1 |            25 |  125
          12 |           2 |               |   32
          12 |           2 |            15 |   32
          12 |           5 |               |   22
          12 |           5 |            30 |   22
          12 |           6 |               |    0
          12 |           6 |             0 |    0
          12 |           7 |               |   26
          12 |           7 |             0 |   26
          12 |             |               |  205
          12 |             |             0 |   26
          12 |             |            15 |   32
          12 |             |            25 |  125
          12 |             |            30 |   22
          13 |           8 |               |   10
          13 |           8 |            15 |   10
          13 |             |               |   10
          13 |             |            15 |   10
          14 |           4 |               |   23
          14 |           4 |             0 |   14
          14 |           4 |            20 |    0
          14 |           4 |            25 |    9
          14 |             |               |   23
          14 |             |             0 |   14
          14 |             |            20 |    0
          14 |             |            25 |    9
          15 |           4 |               |  164
          15 |           4 |             0 |   26
          15 |           4 |            15 |   26
          15 |           4 |            20 |  112
          15 |             |               |  164
          15 |             |             0 |   26
