               name               | abbrev | utc_offset | is_dst 
----------------------------------+--------+------------+--------
 Africa/Abidjan                   | GMT    | 00:00:00   | f
 Africa/Accra                     | GMT    | 00:00:00   | f
 Africa/Addis_Ababa               | EAT    | 03:00:00   | f
 Africa/Algiers                   | CET    | 01:00:00   | f
 Africa/Asmara                    | EAT    | 03:00:00   | f
 Africa/Asmera                    | EAT    | 03:00:00   | f
 Africa/Bamako                    | GMT    | 00:00:00   | f
 Africa/Bangui                    | WAT    | 01:00:00   | f
 Africa/Banjul                    | GMT    | 00:00:00   | f
 Africa/Bissau                    | GMT    | 00:00:00   | f
 Africa/Blantyre                  | CAT    | 02:00:00   | f
 Africa/Brazzaville               | WAT    | 01:00:00   | f
 Africa/Bujumbura                 | CAT    | 02:00:00   | f
 Africa/Cairo                     | EET    | 02:00:00   | f
 Africa/Casablanca                | +01    | 01:00:00   | f
 Africa/Ceuta                     | CEST   | 02:00:00   | t
 Africa/Conakry                   | GMT    | 00:00:00   | f
 Africa/Dakar                     | GMT    | 00:00:00   | f
 Africa/Dar_es_Salaam             | EAT    | 03:00:00   | f
 Africa/Djibouti                  | EAT    | 03:00:00   | f
 Africa/Douala                    | WAT    | 01:00:00   | f
 Africa/El_Aaiun                  | +01    | 01:00:00   | f
 Africa/Freetown                  | GMT    | 00:00:00   | f
 Africa/Gaborone                  | CAT    | 02:00:00   | f
 Africa/Harare                    | CAT    | 02:00:00   | f
 Africa/Johannesburg              | SAST   | 02:00:00   | f
 Africa/Juba                      | CAT    | 02:00:00   | f
 Africa/Kampala                   | EAT    | 03:00:00   | f
 Africa/Khartoum                  | CAT    | 02:00:00   | f
 Africa/Kigali                    | CAT    | 02:00:00   | f
 Africa/Kinshasa                  | WAT    | 01:00:00   | f
 Africa/Lagos                     | WAT    | 01:00:00   | f
 Africa/Libreville                | WAT    | 01:00:00   | f
 Africa/Lome                      | GMT    | 00:00:00   | f
 Africa/Luanda                    | WAT    | 01:00:00   | f
 Africa/Lubumbashi                | CAT    | 02:00:00   | f
 Africa/Lusaka                    | CAT    | 02:00:00   | f
 Africa/Malabo                    | WAT    | 01:00:00   | f
 Africa/Maputo                    | CAT    | 02:00:00   | f
 Africa/Maseru                    | SAST   | 02:00:00   | f
 Africa/Mbabane                   | SAST   | 02:00:00   | f
 Africa/Mogadishu                 | EAT    | 03:00:00   | f
 Africa/Monrovia                  | GMT    | 00:00:00   | f
 Africa/Nairobi                   | EAT    | 03:00:00   | f
 Africa/Ndjamena                  | WAT    | 01:00:00   | f
 Africa/Niamey                    | WAT    | 01:00:00   | f
 Africa/Nouakchott                | GMT    | 00:00:00   | f
 Africa/Ouagadougou               | GMT    | 00:00:00   | f
 Africa/Porto-Novo                | WAT    | 01:00:00   | f
 Africa/Sao_Tome                  | GMT    | 00:00:00   | f
 Africa/Timbuktu                  | GMT    | 00:00:00   | f
 Africa/Tripoli                   | EET    | 02:00:00   | f
 Africa/Tunis                     | CET    | 01:00:00   | f
 Africa/Windhoek                  | CAT    | 02:00:00   | f
 America/Adak                     | HDT    | -09:00:00  | t
 America/Anchorage                | AKDT   | -08:00:00  | t
 America/Anguilla                 | AST    | -04:00:00  | f
 America/Antigua                  | AST    | -04:00:00  | f
 America/Araguaina                | -03    | -03:00:00  | f
 America/Argentina/Buenos_Aires   | -03    | -03:00:00  | f
 America/Argentina/Catamarca      | -03    | -03:00:00  | f
 America/Argentina/ComodRivadavia | -03    | -03:00:00  | f
 America/Argentina/Cordoba        | -03    | -03:00:00  | f
 America/Argentina/Jujuy          | -03    | -03:00:00  | f
 America/Argentina/La_Rioja       | -03    | -03:00:00  | f
 America/Argentina/Mendoza        | -03    | -03:00:00  | f
 America/Argentina/Rio_Gallegos   | -03    | -03:00:00  | f
 America/Argentina/Salta          | -03    | -03:00:00  | f
 America/Argentina/San_Juan       | -03    | -03:00:00  | f
 America/Argentina/San_Luis       | -03    | -03:00:00  | f
 America/Argentina/Tucuman        | -03    | -03:00:00  | f
 America/Argentina/Ushuaia        | -03    | -03:00:00  | f
 America/Aruba                    | AST    | -04:00:00  | f
 America/Asuncion                 | -04    | -04:00:00  | f
 America/Atikokan                 | EST    | -05:00:00  | f
